,t,blocked mean,interleaved mean,early mean,middle mean,late mean,instructed mean,blocked stddev,interleaved stddev,early stddev,middle stddev,late stddev,instructed stddev
84,84,0.9155309581459704,0.6596119929453264,0.8345022763627415,0.6756814613957471,0.5625730994152047,0.6911764705882353,0.2785663491340753,0.4770381325142705,0.3748636868803207,0.4723764711937818,0.5011363144669121,0.4654432309413774
85,85,0.9203389830508474,0.6304075235109718,0.8019151846785226,0.7354010695187166,0.6436781609195402,0.5333333333333333,0.27274330704527033,0.4868824783646973,0.4027966233440903,0.4446600022246885,0.4844498929931651,0.5022472023339226
86,86,0.9232448232011692,0.5887445887445888,0.8174924165824065,0.7083333333333334,0.6291902071563088,0.7826086956521741,0.2686618056233517,0.4967020427906965,0.37771054094303996,0.4524996047024707,0.4885030641605073,0.4154928051118867
87,87,0.9486432386976038,0.6634217851789627,0.7967884828349944,0.6730837789661319,0.696223316912972,0.6216216216216216,0.21940451285275386,0.4751045971607845,0.4054301677265633,0.4721410027169195,0.4563020230923298,0.488293160952466
88,88,0.9402795885846732,0.6806418219461697,0.8372093023255814,0.8195934500282327,0.7084291187739463,0.7605633802816901,0.2343751635629789,0.4692209529785599,0.3722645984563373,0.3870054813957878,0.4584983909003766,0.42977697646219
89,89,0.9522830415856256,0.6666666666666666,0.8498062015503876,0.7295454545454546,0.5524691358024691,0.64,0.21450077004646995,0.4762075503109359,0.3588554247371589,0.4463650796747571,0.5034060542532894,0.4832323597540975
90,90,0.9645379989065064,0.6672210433751983,0.8586508329209962,0.6900105708245243,0.7534846674631619,0.6049382716049383,0.1851933338983575,0.4741817095861222,0.3509822214157993,0.4633451326920101,0.4358801899590076,0.4919098582484146
91,91,0.939466538025833,0.6122448979591837,0.8328488372093024,0.8215488215488217,0.6276881720430108,0.6712328767123288,0.2385302755569896,0.4870810589210725,0.37219889529377054,0.3789314642986096,0.4894555086814709,0.4730161648796402
92,92,0.9296398305084744,0.6338624338624338,0.8496124031007751,0.7143227143227142,0.6510938079347424,0.7922077922077922,0.25402046246998106,0.48497991491948106,0.360972932161756,0.4554734600291064,0.4817094896439506,0.4083877909943189
93,93,0.9637466547725244,0.5496894409937888,0.8515586343394358,0.7303303751211871,0.7175925925925926,0.7051282051282052,0.1873255454603971,0.4983662661679472,0.35871283015739497,0.4406044516474251,0.4560906344792544,0.4589364995538169
94,94,0.962994350282486,0.6789740050609615,0.8515826873385013,0.6986339366202067,0.6237513873473918,0.7285714285714285,0.19047913348539425,0.4681196357784851,0.3572562873491931,0.4607619638181816,0.4891843339705597,0.4479074882299048
95,95,0.9564118963863129,0.5585249756265412,0.8132258346188549,0.6892250116949945,0.7209530827806435,0.7123287671232876,0.20559094136957545,0.4976136034378826,0.3908129350218473,0.4676940763086337,0.4542718571899406,0.4558097816826944
96,96,0.9464763603925068,0.6547036140256479,0.8699985555395059,0.7581168831168832,0.8063326827152462,0.7,0.22605354292623955,0.4799504822919274,0.33319335400658,0.4288112018296478,0.3981943231870108,0.4615663313770508
97,97,0.9356974499283424,0.626468978395956,0.8121691548206744,0.8123678646934461,0.736842105263158,0.6447368421052632,0.2473964295350041,0.4879396520315305,0.3935520893632621,0.3941620486755048,0.4429937764266372,0.4817730411281797
98,98,0.9647457627118644,0.6153846153846154,0.8715445370776657,0.7721723689634398,0.7282051282051282,0.6376811594202898,0.1814924009045782,0.4912507507890746,0.33794445223816755,0.42308778290654864,0.4481599125855539,0.4841917003915366
99,99,0.9666397632499326,0.6258731936223538,0.8870839033287733,0.758220502901354,0.8086419753086421,0.7941176470588235,0.17988370977208168,0.4849110962220031,0.3179987865106873,0.4310609413302253,0.3983565827608989,0.40735123754409946
100,100,0.9277010053813134,0.7134920634920635,0.8536821705426357,0.773063973063973,0.7891714520098442,0.7246376811594203,0.25731545687771085,0.4562809304099124,0.3565678520400553,0.4220504457473177,0.4134542277656703,0.4499692136859278
101,101,0.9623915847121456,0.5187756261925061,0.8174264561724532,0.7581168831168832,0.7444444444444445,0.7397260273972602,0.1905088918444091,0.5034968261019944,0.3890694464267503,0.4326322346996526,0.4371871871098689,0.4418206417224697
102,102,0.950996134403806,0.5913753799392097,0.8435924540575704,0.8454545454545456,0.7619047619047621,0.7761194029850746,0.217387437424104,0.4954888930251273,0.3670971782199527,0.3644896781882675,0.4306707538990061,0.4199890158155314
103,103,0.9565588947443384,0.6428571428571429,0.9162144702842379,0.7990259740259741,0.7561807331628303,0.8360655737704918,0.20309334829081213,0.4827683142339047,0.2767139025919317,0.40397270812300506,0.43516622162030905,0.3732884438274001
104,104,0.9570133179281388,0.6682485875706216,0.8190697674418604,0.8327922077922078,0.8120915032679739,0.7058823529411765,0.204167261814354,0.4750934365081181,0.3886833020118855,0.3760252287057288,0.3922700658873759,0.4590328421057632
105,105,0.9389820183069432,0.5795641646489104,0.9102295056947172,0.8357256778309409,0.8131842534358257,0.7164179104477612,0.2407110030983177,0.4959134011000945,0.2877644336235428,0.3692977321244249,0.3861192382214231,0.4541382164873988
106,106,0.926599981476336,0.618419452887538,0.8274965800273597,0.7534405042083848,0.8292810457516341,0.6811594202898551,0.2630388281950857,0.4884249907080501,0.3813275949237518,0.4343191805929068,0.3799395933290029,0.4694412706232431
107,107,0.936645236703682,0.5761635961375431,0.7854670607451194,0.751805915224206,0.8237861429350792,0.6716417910447762,0.2435125956440849,0.4983601019618328,0.4147694202085097,0.4347708882073658,0.3838463477450223,0.4731602234073838
108,108,0.9599383667180278,0.7350649350649351,0.8763051732320836,0.8323282891493154,0.8170803782505911,0.6857142857142857,0.19214290662946515,0.4414966195646484,0.3326762867267746,0.3746570701558059,0.3915378757953431,0.4675826561931813
109,109,0.9085637823371993,0.6547570476579044,0.8660465116279069,0.7571548821548821,0.7972459639126305,0.6865671641791045,0.29084949659997444,0.4774283603439912,0.3366738531641331,0.4327943363087509,0.4071072396520787,0.467389760908861
110,110,0.9755178907721279,0.5909081092754561,0.8444767441860465,0.8073365231259969,0.8515873015873014,0.7083333333333334,0.15312407464361338,0.4909505461934169,0.364840319515486,0.3979910729038778,0.34850555466678923,0.4577193924813773
111,111,0.9699537750385208,0.6673476506054113,0.8101210251542478,0.7980765244787132,0.8401298437817002,0.6716417910447762,0.16885913731975044,0.4754679652870499,0.3964378374880824,0.4017146865757437,0.3654815241887925,0.4731602234073838
112,112,0.9363537295091467,0.6741872506578389,0.8525928065867399,0.8563611491108071,0.8140610545790935,0.6619718309859155,0.24666862463550995,0.4729063910453776,0.35827095480799376,0.3530878299985697,0.3939121533637495,0.4764050489066446
113,113,0.9636747168998192,0.6275503109045036,0.8484912990261294,0.7669294990723562,0.818342151675485,0.6266666666666667,0.1887560222780396,0.487815663769564,0.3593881692016927,0.4255978058660337,0.3858247339548277,0.4869467292395721
114,114,0.9533348007924279,0.7017148861120492,0.8734331189180272,0.7819693533979248,0.7595402298850575,0.676056338028169,0.21294060422721128,0.4591669542267072,0.3354715738609651,0.4151330282302617,0.43274171154880176,0.4713096612426741
115,115,0.966348677101664,0.6621743036837376,0.8742555303460011,0.816326530612245,0.8536398467432951,0.6666666666666666,0.18069399116970872,0.4751303901802086,0.3347752343551084,0.3912303982179758,0.3568011731014686,0.4747126632775414
116,116,0.9633612748710392,0.6563732563732563,0.7675560461310089,0.8361314927662398,0.8750907770515615,0.7014925373134329,0.1895020675947999,0.4790298101138965,0.4267388527170452,0.3735541470807823,0.3099187725837507,0.4610569337463494
117,117,0.9548570748110304,0.6472663139329806,0.8335739699891713,0.7833333333333333,0.8637426900584795,0.5942028985507246,0.20680762609614795,0.4825185557490139,0.3758124790702298,0.4052998673677571,0.3390759834968431,0.494643085220223
118,118,0.9477749547057752,0.7493827160493827,0.8910056180395359,0.7951178451178452,0.8425641025641026,0.7846153846153846,0.22048713981841409,0.4375203849518318,0.315006123332678,0.4066179876752638,0.3679289158742393,0.4142880826002788
119,119,0.940427413411938,0.6466920963044994,0.8763051732320836,0.8482441094159069,0.8284745762711865,0.640625,0.2379714951278062,0.4824662381539039,0.3326762867267745,0.35889386496881515,0.3707847745745225,0.48361034754641896
120,120,0.5113852558091635,0.6021594684385382,0.7318462268628382,0.6029684601113172,0.4358660130718955,0.6956521739130435,0.4944517729582389,0.4913657425398284,0.43005366108145854,0.4796505445692533,0.4934356268682438,0.4635016284661715
